word,count
",",529598
.,473232
the,464501
of,424643
and,404535
in,266532
to,233718
),233059
(,230545
a,166630
with,134357
for,108614
were,102312
was,92115
that,88382
%,86213
is,69795
The,64995
on,61308
by,55613
as,52538
=,48389
from,47279
patients,44041
-,42800
or,40613
are,40261
study,40242
between,37000
an,36496
be,35217
at,34756
–,34450
this,33759
/,31071
We,30991
we,29932
not,29359
;,28870
In,27606
:,26442
associated,23663
have,22519
p,22420
which,22255
their,22167
than,22055
using,21945
1,21818
’,21766
more,21266
95,20439
data,20111
CI,19308
risk,19131
used,19024
results,18848
health,18562
these,18463
but,18139
2,17594
may,17109
group,16907
had,16563
analysis,16563
A,16555
This,16517
<,16512
studies,16348
compared,16276
during,16107
both,16063
has,16056
can,15717
two,15679
after,15461
also,15433
significantly,15350
age,15111
years,14581
been,14530
higher,14476
significant,14164
model,14144
among,14095
time,14009
use,13977
treatment,13975
factors,13756
different,13118
found,13115
increased,13091
high,12914
participants,12754
levels,12537
effects,12516
other,12344
all,12255
showed,12049
effect,12008
control,12004
social,11907
disease,11777
who,11757
s,11718
women,11594
3,11557
However,11529
no,11415
when,11326
one,11187
clinical,10969
groups,10869
such,10490
children,10476
it,10150
care,10136
activity,10096
P,9957
most,9911
information,9908
those,9815
HIV,9672
differences,9406
findings,9387
research,9287
only,9249
n,9162
our,8955
whether,8904
These,8892
performance,8826
about,8688
based,8664
three,8648
observed,8647
level,8632
±,8615
individuals,8564
[,8554
population,8477
lower,8469
brain,8438
into,8411
total,8393
included,8330
association,8325
over,8199
first,8198
well,8187
5,8173
response,8158
low,8155
cognitive,8155
number,8144
its,8132
including,8087
Our,7984
they,7902
suggest,7867
changes,7859
],7850
each,7850
reported,7850
test,7839
while,7769
could,7733
4,7715
human,7660
rate,7650
present,7647
evidence,7645
important,7598
related,7563
identified,7535
respectively,7488
within,7437
potential,7436
performed,7424
visual,7387
positive,7381
task,7287
To,7269
“,7244
models,7235
”,7230
subjects,7193
10,7176
conducted,7172
0.001,7118
OR,7095
assessed,7012
show,6958
system,6949
6,6911
cancer,6889
prevalence,6859
outcomes,6804
mean,6783
role,6773
did,6765
vs,6724
increase,6719
expression,6704
there,6668
quality,6647
how,6627
e,6450
cells,6392
symptoms,6388
without,6355
mortality,6345
impact,6300
across,6282
through,6280
regression,6259
months,6249
development,6225
physical,6184
+,6166
measured,6159
function,6133
less,6071
new,6003
controls,5992
support,5965
behavior,5897
network,5869
conditions,5850
measures,5842
negative,5820
status,5805
cases,5789
people,5779
healthy,5757
learning,5754
should,5708
relationship,5693
investigated,5632
individual,5628
blood,5620
memory,5511
identify,5508
early,5502
primary,5425
12,5425
analyses,5419
approach,5413
life,5411
adults,5395
method,5391
functional,5386
assess,5355
men,5315
rates,5298
provide,5290
specific,5248
sample,5239
investigate,5223
intervention,5207
stress,5205
likely,5205
examined,5184
similar,5156
responses,5154
mice,5154
body,5154
infection,5119
pain,5106
year,5095
change,5091
ratio,5089
patient,5071
further,5070
common,5058
scores,5050
current,5036
cohort,4918
processing,4915
depression,4904
reduced,4892
factor,4891
score,4888
species,4883
period,4836
characteristics,4826
greater,4801
areas,4771
due,4745
training,4716
large,4715
patterns,4708
type,4707
evaluated,4697
baseline,4663
cell,4631
sex,4626
i,4617
influence,4613
Here,4607
determine,4600
medical,4585
days,4578
known,4577
general,4559
per,4545
knowledge,4539
outcome,4537
revealed,4533
regions,4530
decreased,4510
difference,4505
mental,4497
chronic,4483
countries,4456
some,4447
under,4440
There,4414
multiple,4405
better,4403
same,4402
four,4397
analyzed,4361
exposure,4346
evaluate,4320
‘,4314
overall,4307
methods,4286
either,4285
range,4283
work,4250
attention,4195
stimuli,4191
−,4187
before,4184
tested,4181
being,4179
interventions,4159
